"location","class","scientificName","benthicOrSurfaceWater","individualCount"
"ARIK","4-29-1","4-29-1 sp.","benthic",263
"ARIK","4-29-1","4-29-1 sp.","surface water",16
"ARIK","ABY1","ABY1 sp.","benthic",64
"ARIK","ABY1","ABY1 sp.","surface water",148
"ARIK","ABY1","Candidatus Buchananbacteria sp.","benthic",17
"ARIK","ABY1","Candidatus Buchananbacteria sp.","surface water",11
"ARIK","ABY1","Candidatus Falkowbacteria sp.","benthic",155
"ARIK","ABY1","Candidatus Falkowbacteria sp.","surface water",1409
"ARIK","ABY1","Candidatus Kerfeldbacteria sp.","benthic",86
"ARIK","ABY1","Candidatus Kerfeldbacteria sp.","surface water",240
"ARIK","ABY1","Candidatus Komeilibacteria sp.","benthic",20
"ARIK","ABY1","Candidatus Komeilibacteria sp.","surface water",93
"ARIK","ABY1","Candidatus Kuenenbacteria bacterium GW2011_GWA2_42_15 Candidatus Kuenenbacteria bacterium GW2011_GWA2_42_15","benthic",3
"ARIK","ABY1","Candidatus Kuenenbacteria bacterium GW2011_GWA2_42_15 Candidatus Kuenenbacteria bacterium GW2011_GWA2_42_15","surface water",2
"ARIK","ABY1","Candidatus Kuenenbacteria sp.","surface water",26
"ARIK","ABY1","Candidatus Magasanikbacteria sp.","benthic",209
"ARIK","ABY1","Candidatus Magasanikbacteria sp.","surface water",1105
"ARIK","ABY1","Candidatus Uhrbacteria sp.","benthic",61
"ARIK","ABY1","Candidatus Uhrbacteria sp.","surface water",999
"ARIK","ABY1","Parcubacteria group bacterium GW2011_GWC2_44_17 Parcubacteria group bacterium GW2011_GWC2_44_17","surface water",3
"ARIK","AKAU4049","AKAU4049 sp.","benthic",36
"ARIK","AT-s3-28","AT-s3-28 sp.","surface water",8
"ARIK","Acetothermiia","Acetothermiia sp.","benthic",40
"ARIK","Acetothermiia","Acetothermiia sp.","surface water",18
"ARIK","Acetothermiia","Acidobacteria sp.","benthic",16
"ARIK","Acetothermiia","Acidobacteria sp.","surface water",5
"ARIK","Acidimicrobiia","Acidimicrobiia sp.","benthic",213
"ARIK","Acidimicrobiia","Acidimicrobiia sp.","surface water",4
"ARIK","Acidimicrobiia","Actinomarinales sp.","benthic",282
"ARIK","Acidimicrobiia","Actinomarinales sp.","surface water",21
"ARIK","Acidimicrobiia","CL500-29 marine group sp.","benthic",2235
"ARIK","Acidimicrobiia","CL500-29 marine group sp.","surface water",213
"ARIK","Acidimicrobiia","IMCC26207 sp.","benthic",123
"ARIK","Acidimicrobiia","IMCC26207 sp.","surface water",5
"ARIK","Acidimicrobiia","IMCC26256 sp.","benthic",494
"ARIK","Acidimicrobiia","IMCC26256 sp.","surface water",95
"ARIK","Acidimicrobiia","Iamia sp.","benthic",686
"ARIK","Acidimicrobiia","Ilumatobacter sp.","benthic",2628
"ARIK","Acidimicrobiia","Ilumatobacter sp.","surface water",60
"ARIK","Acidimicrobiia","Ilumatobacteraceae sp.","benthic",905
"ARIK","Acidimicrobiia","Ilumatobacteraceae sp.","surface water",8
"ARIK","Acidimicrobiia","Microtrichaceae sp.","benthic",290
"ARIK","Acidimicrobiia","Microtrichaceae sp.","surface water",16
"ARIK","Acidimicrobiia","Microtrichales sp.","benthic",887
"ARIK","Acidimicrobiia","Microtrichales sp.","surface water",10
"ARIK","Acidimicrobiia","Sva0996 marine group sp.","benthic",74
"ARIK","Acidobacteriia","Acidobacteriales sp.","benthic",32
"ARIK","Acidobacteriia","Bryobacter sp.","benthic",969
"ARIK","Acidobacteriia","Bryobacter sp.","surface water",52
"ARIK","Acidobacteriia","Candidatus Solibacter sp.","benthic",279
"ARIK","Acidobacteriia","Candidatus Solibacter sp.","surface water",53
"ARIK","Acidobacteriia","Elev-16S-1166 sp.","benthic",22
"ARIK","Acidobacteriia","GOUTB8 sp.","benthic",217
"ARIK","Acidobacteriia","GOUTB8 sp.","surface water",30
"ARIK","Acidobacteriia","Occallatibacter sp.","surface water",44
"ARIK","Acidobacteriia","PAUC26f sp.","benthic",166
"ARIK","Acidobacteriia","Paludibaculum sp.","benthic",1280
"ARIK","Acidobacteriia","Paludibaculum sp.","surface water",137
"ARIK","Acidobacteriia","Solibacteraceae (Subgroup 3) sp.","benthic",34
"ARIK","Acidobacteriia","Subgroup 12 sp.","benthic",5
"ARIK","Acidobacteriia","Subgroup 13 sp.","benthic",11
"ARIK","Acidobacteriia","Subgroup 2 sp.","benthic",37
"ARIK","Actinobacteria","Actinobacteria sp.","benthic",25
"ARIK","Actinobacteria","Actinobacteria sp.","surface water",3
"ARIK","Actinobacteria","Actinoplanes sp.","benthic",955
"ARIK","Actinobacteria","Aeromicrobium sp.","benthic",118
"ARIK","Actinobacteria","Agromyces sp.","benthic",165
"ARIK","Actinobacteria","Angustibacter sp.","benthic",415
"ARIK","Actinobacteria","Aquipuribacter sp.","benthic",746
"ARIK","Actinobacteria","Arthrobacter sp.","benthic",572
"ARIK","Actinobacteria","Aurantimicrobium sp.","surface water",1919
"ARIK","Actinobacteria","Blastococcus sp.","benthic",85
"ARIK","Actinobacteria","Candidatus Aquiluna sp.","surface water",433
"ARIK","Actinobacteria","Candidatus Planktoluna sp.","surface water",207
"ARIK","Actinobacteria","Catenuloplanes sp.","benthic",20
"ARIK","Actinobacteria","Cellulomonas sp.","benthic",272
"ARIK","Actinobacteria","Citricoccus sp.","benthic",260
"ARIK","Actinobacteria","Corynebacterium 1 sp.","surface water",2
"ARIK","Actinobacteria","Cryobacterium sp.","benthic",25
"ARIK","Actinobacteria","Cryptosporangium sp.","benthic",5
"ARIK","Actinobacteria","Curtobacterium sp.","surface water",2
"ARIK","Actinobacteria","Dactylosporangium sp.","benthic",5
"ARIK","Actinobacteria","Demequina sp.","benthic",166
"ARIK","Actinobacteria","Fodinicola sp.","benthic",650
"ARIK","Actinobacteria","Fodinicola sp.","surface water",40
"ARIK","Actinobacteria","Frankiales sp.","benthic",22
"ARIK","Actinobacteria","Geodermatophilus sp.","benthic",224
"ARIK","Actinobacteria","Intrasporangiaceae sp.","benthic",440
"ARIK","Actinobacteria","Janibacter sp.","benthic",102
"ARIK","Actinobacteria","Kineococcus sp.","benthic",28
"ARIK","Actinobacteria","Kineosporia sp.","benthic",464
"ARIK","Actinobacteria","Kineosporiaceae sp.","benthic",1610
"ARIK","Actinobacteria","Knoellia sp.","benthic",58
"ARIK","Actinobacteria","Kocuria sp.","benthic",88
"ARIK","Actinobacteria","Lechevalieria sp.","benthic",108
"ARIK","Actinobacteria","Luedemannella sp.","benthic",28
"ARIK","Actinobacteria","Luedemannella sp.","surface water",8
"ARIK","Actinobacteria","Marmoricola sp.","benthic",112
"ARIK","Actinobacteria","Microbacteriaceae sp.","benthic",959
"ARIK","Actinobacteria","Microbacteriaceae sp.","surface water",2401
"ARIK","Actinobacteria","Microbacterium sp.","benthic",684
"ARIK","Actinobacteria","Microbacterium sp.","surface water",11
"ARIK","Actinobacteria","Micromonospora sp.","benthic",172
"ARIK","Actinobacteria","Micromonospora sp.","surface water",22
"ARIK","Actinobacteria","Micromonosporaceae sp.","benthic",94
"ARIK","Actinobacteria","Mycobacterium sp.","benthic",948
"ARIK","Actinobacteria","Mycobacterium sp.","surface water",13
"ARIK","Actinobacteria","Nesterenkonia sp.","benthic",228
"ARIK","Actinobacteria","Nocardioidaceae sp.","benthic",3
"ARIK","Actinobacteria","Nocardioides sp.","benthic",2881
"ARIK","Actinobacteria","Nocardioides sp.","surface water",11
"ARIK","Actinobacteria","PeM15 sp.","benthic",2263
"ARIK","Actinobacteria","PeM15 sp.","surface water",396
"ARIK","Actinobacteria","Propionibacteriaceae sp.","benthic",349
"ARIK","Actinobacteria","Propionibacteriaceae sp.","surface water",10
"ARIK","Actinobacteria","Pseudarthrobacter sp.","benthic",889
"ARIK","Actinobacteria","Pseudonocardia sp.","benthic",60
"ARIK","Actinobacteria","Pseudonocardiaceae sp.","benthic",3
"ARIK","Actinobacteria","Rhodococcus sp.","benthic",504
"ARIK","Actinobacteria","Rhodococcus sp.","surface water",7
"ARIK","Actinobacteria","Rhodoluna sp.","surface water",107
"ARIK","Actinobacteria","Sporichthyaceae sp.","benthic",13
"ARIK","Actinobacteria","Sporichthyaceae sp.","surface water",14
"ARIK","Actinobacteria","Streptomyces sp.","benthic",325
"ARIK","Actinobacteria","Streptomyces sp.","surface water",18
"ARIK","Actinobacteria","Streptosporangium sp.","benthic",22
"ARIK","Actinobacteria","Tetrasphaera sp.","benthic",3
"ARIK","Actinobacteria","Tetrasphaera sp.","surface water",6
"ARIK","Actinobacteria","Virgisporangium sp.","benthic",16
"ARIK","Actinobacteria","hgcI clade sp.","surface water",363
"ARIK","Alphaproteobacteria","1174-901-12 sp.","benthic",3
"ARIK","Alphaproteobacteria","1174-901-12 sp.","surface water",6
